Ticker,Name
QQQ,"INVESCO QQQ TRUST ETF, SERIES 1"
QQQM,INV NASDAQ 100 IDX
QUAL,ISHARES TRUST - ISHARES MSCI USA QUALITY FACTOR ETF
RSP,INVESCO EXCHANGE-TRADED FUND TRUST-INVESCO S&P 500 EQ WGT ETF
RSPR,INVESCO ETF TR -INVESCO S&P 500 EQUAL WEIGHT REAL ESTATE ETF
RSPS,INVESCO ETF TRUST - INVESCO S&P 500 EQUAL WEIGHT CNS STP ETF
RUT,RUSSELL 2000 INDEX
RWJ,INVESCO EXCHANGE-TRADED FD TR II-INVES S&P 600 REV ETF
RWK,INVESCO EXCHANGE-TRADED FD TR II-INVES S&P MDCAP 400 REV ETF
RWL,INVESCO EXCHANGE-TRADED FD TR II-INVESCO S&P 500 REVENUE ETF
SCHD,SCHWAB US SMALL-CAP ETF
SHV,ISHARES BARCLAYS SHORT TREASURY BOND
SHY,ISHARES TRUST-ISHARES 1-3 YEAR TREASURY BOND ETF
SJNK,SPDR SERIES TRUST - SPDR BLOOMBERG ST HI YLD BD ETF
SLV,ISHARES SILVER TRUST
SOYB,TEUCRIUM COMMODITY TRUST - TEUCRIUM SOYBEAN FUND
SPEM,SPDR INDEX ISHARES FUNDS -SPDR PORTFOLIO EMERGING MARKETS ETF
SPHD,INVESCO S&P 500 HH DV LW VLT ETF
SPHY,SPDR SERIES TRUST-SPDR PORTFOLIO HIGH YIELD BOND ETF
SPIB,STATE STREET SPDR PORTFOLIO INTERMEIDITE TRM CRPRATE BND ETF
SPTL,SPDR SERIES TRUST - SPDR PORTFOLIO LONG TERM TREASURY ETF
SPTS,SPDR PORTFOLIO SHORT TERM TREASURY ETF
SPY,SPDR SP 500 ETF TRUST
SPYD,SPDR SERIES TRUST - SPDR PORTFOLIO S&P 500 HIGH DIVIDEND ETF
SPYM,STATE STREET SPDR PORTFOLIO S&P 500 ETF
SPYV,STATE STREET SPDR PORTFOLIO S&P 500 VALUE ETF
SRLN,SPDR BLACKSTONE SENIOR LOAN ETF
STIP,ISHARES TRUST - ISHARES 0-5 YEAR TIPS BOND ETF
SUB,ISHARES TRUST-ISHARES S&P SHORT TERM NATIONAL MUNICIPL BD FD
SUSA,ISHARES MSCI USA ESG SELECT ETF
TETH,TEUCRIUM COMMODITY TRUST - TEUCRIUM SOYBEAN FUND
TFI,SPDR SER TRUST-SPDR(R) NUVEEN BLOOMBERG MUNI BD ETF
TIP,ISHARES TRUST - ISHARES TIPS BOND ETF
TLT,ISHARES BARCLAYS 20+ YEAR TREASURY BOND
TMDV,PROSHARES RUSSELL US DIVIDEND GROWERS ETF
TRTY,CAMBRIA ETF TRUST - CAMBRIA TRINITY ETF
UGA,UNITED STATES GASOLINE FUND LP
UNG,UNITED STATES GASOLINE FUND LP
USHY,ISHARES TRUST -ISHARES BROAD USD HIGH YIELD CORP BD ETF
USL,"UNITED STATES 12 MONTH OIL FUND, LP"
USMV,ISHARES TRUST - ISHARES MSCI USA MIN VOL FACTOR ETF
USO,"UNITED STATES OIL FUND, LP"
VB,VANGUARD INDEX FUNDS - VANGUARD SMALL-CAP INDEX FUND
VCEB,VANGUARD SHT TERM CORP BND INDEX
VCIT,VANGUARD SCOTTSDALE FUNDS- VAN INT-TERM TREASURY INDX FD
VGK,VANGUARD FTSE EUROPE ETF
VGSH,VANGUARD SCOTTSDALE FUNDS -VANGUARD SHORT-TERM TREAS IDX FD
VIG,VANGUARD SPECIALIZED FUNDS-VANGUARD DIVIDEND APPRECIATION INDEX FX FD
VIOG,VANGUARD S&P SMALL-CAP 600 GROWTH ETF
VIOO,VANGUARD S&P SMALL-CAP 600 INDEX
VLUE,ISHARES TRUST - ISHARES MSCI USA VALUE FACTOR ETF
VNQI,VANGUARD INTRL EQ IDX FD-VGRD GLB EX-US REAL EST IDX FD
VO,VANGUARD INDEX FUNDS - VANGUARD MID-CAP INDEX FUND
VOE,VANGUARD INDEX FUNDS - VANGUARD MID-CAP VALUE INDEX FUND
VONE,VANGUARD SCOTTSDALE FUNDS - VANGUARD RUSSELL 1000 INDEX FUND
VONV,VANGUARD SCOTTSDALE FUNDS- VANGUARD RUSSELL 1000 VALUE INDEX
VOO,VANGUARD INDEX FUNDS - VANGUARD 500 INDEX FUND
VOOV,VANGUARD S&P 500 VALUE ETF
VOT,VANGUARD INDEX FUNDS-VANGUARD MID-CAP GROWTH INDEX FUND
VPL,VANGUARD INTERNATIONAL EQUITY INDEX FUNDS-PACIFIC STK IND FD
VSS,VANGUARD INTL EQ IDX FD-VGRD FTSE ALL-WLD EX-US SM CP IDX FD
VT,VANGUARD TOTAL WORLD STK
VTEB,VANGUARD MUNI BD FDS-VANGUARD TAX-EXEMPT BOND INDEX FUND
VTHR,VANGUARD SCOTTSDALE FUNDS - VANGUARD RUSSELL 3000 INDEX FUND
VTI,VANGUARD TOTAL STOCK MARKET INDEX
VTIP,VANGUARD MALVERN FUNDS- VAN SHRT TERM INFL PRT SEC IND FUNDS
VTV,VANGUARD INDEX FUNDS - VANGUARD VALUE INDEX FUND
VTWO,VANGUARD RUSSELL 2000 INDEX
VV,VANGUARD LARGE-CAP INDEX
VWO,VANGUARD INTERNATIONAL EQ ID FD-VANGUARD EMG MKT STK IN FD
VWOB,VANGUARD INDEX FUNDS-VANGUARD EMERGING MKTS GVT BDX FUND
VXF,VANGUARD EXTENDED MARKET INDEX
VXUS,VANGUARD STAR FUNDS-VANGUARD TOTAL INTERNNTNL STOCK INDEX FD
VXX,BARCLAYS BANK PLC - IPATH SERIES B S&P 500 VIX S-T FUT ETN
VYM,VANGUARD HIGH DIVIDEND YIELD ETF
VYMI,VANGUARD WHITEHALL FUNDS - VANGUARD INTERNATIONAL HIGH DIVID
WEAT,TEUCRIUM COMMODITY TRUST - TEUCRIUM WHEAT FUND
XBI,SPDR S&P BIOTECH ETF
XOP,SPDR SERIES TRUST-SPDR S&P OIL & GAS EXPLORATION & PROD ETF
XRT,STATE STREET SPDR S&P RETAIL ETF
XSD,SPDR SERIES TRUST-SPDR S&P SEMICONDUCTOR ETF
XSP,CBOE MINI SPX INDEX
XYLD,GLOBAL X FUNDS-GLOBAL X S&P 500 COVERED CALL ETF
ZROZ,PIMCO ETF TR-PIMCO 25+ YEAR ZERO COUPON U.S TREASURY IND ETF
